epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.486,1.30685,0.97164,1.26055,0.77641,0.81343,0.82093,0.50906,1.3302,0.70778,1.02516,0.000370056,0.000370056,0.000370056
2,416.328,1.26537,0.86329,1.20667,0.8091,0.79225,0.83677,0.52471,1.32417,0.70524,1.02894,0.000725729,0.000725729,0.000725729
3,619.094,1.26654,0.8508,1.19222,0.78817,0.79789,0.82041,0.51687,1.31353,0.73985,1.02783,0.00106674,0.00106674,0.00106674
4,821.404,1.25577,0.83131,1.18829,0.80146,0.82132,0.83976,0.52238,1.3059,0.72164,1.01895,0.00104501,0.00104501,0.00104501
5,1023.63,1.243,0.8101,1.17661,0.78921,0.81758,0.8501,0.5461,1.28511,0.71478,1.01996,0.00102301,0.00102301,0.00102301
6,1226.02,1.23261,0.80041,1.16864,0.81568,0.82613,0.85181,0.53846,1.28463,0.7238,1.01761,0.00100101,0.00100101,0.00100101
7,1428.62,1.21519,0.78272,1.15881,0.79648,0.83563,0.85379,0.54169,1.28993,0.70414,1.02119,0.000979013,0.000979013,0.000979013
8,1631.19,1.21673,0.78185,1.15803,0.81169,0.79955,0.84303,0.53605,1.30329,0.70291,1.02423,0.000957015,0.000957015,0.000957015
9,1833.94,1.20986,0.76533,1.15311,0.84816,0.79802,0.86411,0.55484,1.28926,0.69923,1.01801,0.000935018,0.000935018,0.000935018
10,2036.7,1.18843,0.75318,1.14465,0.84061,0.81679,0.86259,0.5571,1.27391,0.69176,1.01215,0.00091302,0.00091302,0.00091302
11,2238.99,1.18518,0.73957,1.1384,0.83697,0.8128,0.86108,0.55404,1.28528,0.69426,1.01694,0.000891022,0.000891022,0.000891022
12,2441.44,1.16734,0.72294,1.12795,0.84079,0.81268,0.85968,0.5535,1.26298,0.69374,1.01158,0.000869024,0.000869024,0.000869024
13,2644,1.16016,0.71724,1.12305,0.85867,0.80982,0.86849,0.55782,1.27933,0.67925,1.00918,0.000847026,0.000847026,0.000847026
14,2846.5,1.14474,0.70022,1.11729,0.84418,0.83031,0.87191,0.56245,1.27038,0.68098,1.00784,0.000825029,0.000825029,0.000825029
15,3048.94,1.14544,0.70049,1.11278,0.84313,0.82854,0.87257,0.56131,1.26589,0.67892,1.0105,0.000803031,0.000803031,0.000803031
16,3251.54,1.13083,0.68787,1.10792,0.84733,0.82507,0.86891,0.56283,1.24927,0.66723,1.00759,0.000781033,0.000781033,0.000781033
17,3454.34,1.12435,0.68698,1.10412,0.85298,0.81646,0.87651,0.57103,1.25949,0.66544,1.01459,0.000759035,0.000759035,0.000759035
18,3656.95,1.11974,0.67077,1.1033,0.85082,0.83156,0.87496,0.57331,1.23457,0.65762,1.00358,0.000737037,0.000737037,0.000737037
19,3859.57,1.11069,0.66956,1.09743,0.8716,0.81232,0.87714,0.57135,1.25717,0.66541,1.01307,0.00071504,0.00071504,0.00071504
20,4061.98,1.10806,0.66019,1.09745,0.85701,0.83238,0.87879,0.57616,1.24067,0.66149,1.00213,0.000693042,0.000693042,0.000693042
21,4264.59,1.09079,0.64893,1.08928,0.86042,0.82493,0.88101,0.57757,1.24566,0.66076,1.00549,0.000671044,0.000671044,0.000671044
22,4466.98,1.08709,0.64471,1.08375,0.86401,0.82559,0.88025,0.57973,1.22993,0.65851,1.00206,0.000649046,0.000649046,0.000649046
