name,kind,route_index,distance_m,road_option,carla_x,carla_y,carla_z,carla_yaw,road_id,section_id,lane_id,lane_width,s,is_junction
ROUTE_0000,mission_route_waypoint,0,0.0,CHANGELANELEFT,220.4112091064453,-5.188553810119629,0.0,-179.14419555664062,5,0,-2,3.5,0.7090176939964494,False
ROUTE_0001,mission_route_waypoint,1,12.587,CHANGELANELEFT,208.26930236816406,-1.8695350885391235,0.0,-179.14419555664062,6,0,-1,3.5,12.00000000000001,False
ROUTE_0002,mission_route_waypoint,2,12.587,LANEFOLLOW,208.26930236816406,-1.8695350885391235,0.0,-179.14419555664062,6,0,-1,3.5,12.00000000000001,False
ROUTE_0003,mission_route_waypoint,3,14.587,LANEFOLLOW,206.26951599121094,-1.8994067907333374,0.0,-179.14419555664062,6,0,-1,3.5,14.000000000000009,False
ROUTE_0004,mission_route_waypoint,4,16.587,LANEFOLLOW,204.26974487304688,-1.9292787313461304,0.0,-179.14419555664062,6,0,-1,3.5,16.000000000000004,False
ROUTE_0005,mission_route_waypoint,5,18.587,LANEFOLLOW,202.2699737548828,-1.9591504335403442,0.0,-179.14419555664062,6,0,-1,3.5,18.0,False
ROUTE_0006,mission_route_waypoint,6,20.587,LANEFOLLOW,200.2701873779297,-1.9890223741531372,0.0,-179.14419555664062,6,0,-1,3.5,19.999999999999996,False
ROUTE_0007,mission_route_waypoint,7,22.587,LANEFOLLOW,198.27041625976562,-2.0188941955566406,0.0,-179.14419555664062,6,0,-1,3.5,21.999999999999993,False
ROUTE_0008,mission_route_waypoint,8,24.587,LANEFOLLOW,196.2706298828125,-2.0487661361694336,0.0,-179.14419555664062,6,0,-1,3.5,23.99999999999999,False
ROUTE_0009,mission_route_waypoint,9,26.587,LANEFOLLOW,194.27085876464844,-2.0786380767822266,0.0,-179.14419555664062,6,0,-1,3.5,25.999999999999986,False
ROUTE_0010,mission_route_waypoint,10,28.587,LANEFOLLOW,192.27108764648438,-2.1085095405578613,0.0,-179.14419555664062,6,0,-1,3.5,27.999999999999982,False
ROUTE_0011,mission_route_waypoint,11,30.587,LANEFOLLOW,190.27130126953125,-2.1383814811706543,0.0,-179.14419555664062,6,0,-1,3.5,29.99999999999998,False
ROUTE_0012,mission_route_waypoint,12,32.587,LANEFOLLOW,188.2715301513672,-2.1682534217834473,0.0,-179.14419555664062,6,0,-1,3.5,31.999999999999975,False
ROUTE_0013,mission_route_waypoint,13,34.587,LANEFOLLOW,186.27175903320312,-2.1981253623962402,0.0,-179.14419555664062,6,0,-1,3.5,33.99999999999997,False
ROUTE_0014,mission_route_waypoint,14,36.587,LANEFOLLOW,184.27197265625,-2.227997303009033,0.0,-179.14419555664062,6,0,-1,3.5,35.99999999999997,False
ROUTE_0015,mission_route_waypoint,15,38.587,LANEFOLLOW,182.27220153808594,-2.257868766784668,0.0,-179.14419555664062,6,0,-1,3.5,37.99999999999997,False
ROUTE_0016,mission_route_waypoint,16,40.587,LANEFOLLOW,180.27243041992188,-2.287740707397461,0.0,-179.14419555664062,6,0,-1,3.5,39.99999999999997,False
ROUTE_0017,mission_route_waypoint,17,42.587,LANEFOLLOW,178.27264404296875,-2.317612648010254,0.0,-179.14419555664062,6,0,-1,3.5,41.99999999999997,False
ROUTE_0018,mission_route_waypoint,18,44.587,LANEFOLLOW,176.2728729248047,-2.347484588623047,0.0,-179.14419555664062,6,0,-1,3.5,43.99999999999997,False
ROUTE_0019,mission_route_waypoint,19,46.587,LANEFOLLOW,174.27308654785156,-2.37735652923584,0.0,-179.14419555664062,6,0,-1,3.5,45.99999999999997,False
ROUTE_0020,mission_route_waypoint,20,48.587,LANEFOLLOW,172.2733154296875,-2.4072279930114746,0.0,-179.14419555664062,6,0,-1,3.5,47.99999999999997,False
ROUTE_0021,mission_route_waypoint,21,50.587,LANEFOLLOW,170.27352905273438,-2.4370999336242676,0.0,-179.14419555664062,6,0,-1,3.5,49.99999999999997,False
ROUTE_0022,mission_route_waypoint,22,52.587,LANEFOLLOW,168.2737579345703,-2.4669718742370605,0.0001456989994039759,-179.14419555664062,6,0,-1,3.5,51.99999999999997,False
ROUTE_0023,mission_route_waypoint,23,56.357,LANEFOLLOW,164.50418090820312,-2.523280143737793,0.001464062836021185,-179.14419555664062,1174,0,-1,3.5,2.220446049250313e-14,True
ROUTE_0024,mission_route_waypoint,24,56.357,STRAIGHT,164.50418090820312,-2.523280143737793,0.001464062836021185,-179.14419555664062,1174,0,-1,3.5,2.220446049250313e-14,True
ROUTE_0025,mission_route_waypoint,25,58.357,STRAIGHT,162.50440979003906,-2.553152084350586,0.0027204875368624926,-179.14419555664062,1174,0,-1,3.5,2.00000000000002,True
ROUTE_0026,mission_route_waypoint,26,60.357,STRAIGHT,160.50462341308594,-2.583024024963379,0.004363066516816616,-179.14419555664062,1174,0,-1,3.5,4.000000000000018,True
ROUTE_0027,mission_route_waypoint,27,62.357,STRAIGHT,158.50485229492188,-2.612895965576172,0.006391800008714199,-179.14419555664062,1174,0,-1,3.5,6.000000000000016,True
ROUTE_0028,mission_route_waypoint,28,64.357,STRAIGHT,156.50506591796875,-2.6427674293518066,0.008806687779724598,-179.14419555664062,1174,0,-1,3.5,8.000000000000014,True
ROUTE_0029,mission_route_waypoint,29,66.357,STRAIGHT,154.5052947998047,-2.6726393699645996,0.011607729829847813,-179.14419555664062,1174,0,-1,3.5,10.000000000000012,True
ROUTE_0030,mission_route_waypoint,30,68.357,STRAIGHT,152.50552368164062,-2.7025113105773926,0.014794925227761269,-179.14419555664062,1174,0,-1,3.5,12.00000000000001,True
ROUTE_0031,mission_route_waypoint,31,70.357,STRAIGHT,150.5057373046875,-2.7323832511901855,0.018368275836110115,-179.14419555664062,1174,0,-1,3.5,14.000000000000009,True
ROUTE_0032,mission_route_waypoint,32,72.357,STRAIGHT,148.50596618652344,-2.7622551918029785,0.022327780723571777,-179.14419555664062,1174,0,-1,3.5,16.000000000000004,True
ROUTE_0033,mission_route_waypoint,33,74.357,STRAIGHT,146.50619506835938,-2.7921266555786133,0.026673439890146255,-179.14419555664062,1174,0,-1,3.5,18.0,True
ROUTE_0034,mission_route_waypoint,34,76.357,STRAIGHT,144.50640869140625,-2.8219985961914062,0.0314052514731884,-179.14419555664062,1174,0,-1,3.5,19.999999999999996,True
ROUTE_0035,mission_route_waypoint,35,78.357,STRAIGHT,142.5066375732422,-2.851870536804199,0.03652321919798851,-179.14419555664062,1174,0,-1,3.5,21.999999999999993,True
ROUTE_0036,mission_route_waypoint,36,80.357,STRAIGHT,140.50686645507812,-2.881742477416992,0.041931021958589554,-179.14419555664062,1174,0,-1,3.5,23.99999999999999,True
ROUTE_0037,mission_route_waypoint,37,82.357,STRAIGHT,138.507080078125,-2.911614418029785,0.047355473041534424,-179.14419555664062,1174,0,-1,3.5,25.999999999999986,True
ROUTE_0038,mission_route_waypoint,38,85.357,STRAIGHT,135.50741577148438,-2.9564218521118164,0.05549215152859688,-179.14419555664062,7,0,-1,3.5,2.220446049250313e-14,False
ROUTE_0039,mission_route_waypoint,39,85.357,CHANGELANERIGHT,135.50741577148438,-2.9564218521118164,0.05549215152859688,-179.14419555664062,7,0,-1,3.5,2.220446049250313e-14,False
ROUTE_0040,mission_route_waypoint,40,97.857,CHANGELANERIGHT,123.56104278564453,-6.635262489318848,0.088038869202137,-179.14419555664062,7,0,-2,3.5,12.00000000000001,False
ROUTE_0041,mission_route_waypoint,41,97.857,LANEFOLLOW,123.56104278564453,-6.635262489318848,0.088038869202137,-179.14419555664062,7,0,-2,3.5,12.00000000000001,False
ROUTE_0042,mission_route_waypoint,42,99.857,LANEFOLLOW,121.56126403808594,-6.665134429931641,0.09346332401037216,-179.14419555664062,7,0,-2,3.5,14.000000000000009,False
ROUTE_0043,mission_route_waypoint,43,101.857,LANEFOLLOW,119.56148529052734,-6.695006370544434,0.09888777136802673,-179.14419555664062,7,0,-2,3.5,16.000000000000004,False
ROUTE_0044,mission_route_waypoint,44,103.857,LANEFOLLOW,117.56170654296875,-6.724878311157227,0.1043122261762619,-179.14419555664062,7,0,-2,3.5,18.0,False
